dial,roster_profile,treatment_value,best_of,series,expected_fit_edge,control_win_rate,treatment_win_rate,series_win_lift_pp,series_win_lift_ci_low,series_win_lift_ci_high,rounds_won_added_per_map,rounds_won_added_ci_low,rounds_won_added_ci_high,round_margin_added_per_map,round_margin_added_ci_low,round_margin_added_ci_high
map_control,fraggers,100.0,5,100,-0.41666666666666674,0.44,0.39,-5.0,-16.612236666725337,6.612236666725337,-0.4800000000000001,-0.7367797216575824,-0.22322027834241776,-0.636,-1.002349136428102,-0.26965086357189794
map_control,mixed,0.0,3,100,0.5333333333333333,0.54,0.53,-1.0,-11.966025771085949,9.966025771085949,0.18333333333333332,-0.16737741526256564,0.5340440819292323,0.3866666666666667,-0.15366166083794242,0.9269949941712758
map_control,mixed,0.0,5,100,0.5333333333333333,0.42,0.52,10.0,-0.6080967742435845,20.608096774243585,0.13399999999999987,-0.1262056822491537,0.3942056822491534,0.32400000000000007,-0.07047800208028387,0.718478002080284
map_control,mixed,100.0,3,100,0.5333333333333333,0.54,0.48,-6.0,-15.163620650940512,3.163620650940512,-0.17000000000000004,-0.5170179259027804,0.17701792590278032,-0.006666666666666643,-0.5354008424931104,0.5220675091597772
map_control,mixed,100.0,5,100,0.5333333333333333,0.42,0.43,1.0,-8.847400518395553,10.847400518395553,-0.22800000000000012,-0.49016471392672756,0.03416471392672735,-0.16800000000000004,-0.5688379702573099,0.2328379702573098
map_control,tacticians,0.0,3,100,1.1666666666666667,0.51,0.58,7.000000000000001,-2.3460095735824558,16.346009573582457,0.36999999999999994,0.07695184385807535,0.6630481561419246,0.6,0.16682671694371565,1.0331732830562843
map_control,tacticians,0.0,5,100,1.1666666666666667,0.48,0.54,6.0,-3.5777216244340444,15.577721624434044,0.294,0.0712418128929212,0.5167581871070788,0.41200000000000003,0.05989052538000106,0.764109474619999
map_control,tacticians,100.0,3,100,1.1666666666666667,0.51,0.54,3.0,-6.8316257377132015,12.831625737713201,0.21000000000000008,-0.14099093480992203,0.5609909348099222,0.48,-0.029408752855671683,0.9894087528556716
map_control,tacticians,100.0,5,100,1.1666666666666667,0.48,0.46,-2.0,-12.036697110548314,8.036697110548314,0.134,-0.13701659553345708,0.4050165955334571,0.198,-0.20348702173572458,0.5994870217357247
pace,balanced,0.0,3,100,0.6666666666666665,0.54,0.58,4.0,-6.7606345800634156,14.760634580063416,0.31,-0.10166284593164193,0.7216628459316419,0.6633333333333333,0.012016235706489908,1.3146504309601768
